,MP,ORtg,%Ps,Pts,OR,DR,A,TO,Blk,Stl,PF,2Pt %,3Pt %,FT %,2Pt %Att,3Pt %Att,FT %Att,Pnts-Prev,Marg
Harvard 2015,13.001762820512822,52.17163461538462,10.345673076923077,4.675961538461538,0.4634615384615385,1.3753205128205128,0.8822115384615384,0.9059294871794872,0.3419871794871795,0.48301282051282046,1.046474358974359,0.2780296617556233,0.08574776363237904,0.27275088693357924,0.07699055792053397,0.05332756246873135,0.07160226188942789,-0.1618589743589743,7.0875
Indiana 2015,16.816250742721333,80.36333927510397,12.999108734402853,6.036838978015449,0.8458110516934046,1.9432560903149136,1.1400772430184194,0.976678550207962,0.2825311942959001,0.44251336898395727,1.5102495543672012,0.33671314202731306,0.1827727555668732,0.3159489920853557,0.08212560066028202,0.0765816798860892,0.07969141182930113,-0.5032679738562091,6.809714795008914
Iowa 2015,13.152325392967102,68.09771511910549,10.96151353103225,4.789175174201912,0.7832604116026577,1.6301247771836005,1.0521795495057527,0.7571706368497811,0.36582401555663585,0.4339653216658564,1.1344190568789498,0.31870760993269504,0.12888755134744437,0.32615702596256796,0.059546110756310444,0.05538251527633395,0.061443371287980476,0.08523740074542217,10.329849295089936
Iowa St. 2015,15.159158107687519,66.17906551509493,10.839176781823843,5.286348428260192,0.7023887332710862,1.9482337379396206,1.0015017117958294,0.7059718331777156,0.30184796140678494,0.4319522253345783,1.36115001556178,0.3030211524845629,0.16960489583038604,0.2719981970060752,0.0661240538798894,0.07127989010718888,0.06904551364563659,0.05565670712729536,8.416573295985062
Kansas 2015,11.922787722787723,56.76945516945516,10.409048009048009,4.213382863382863,0.6104344604344604,1.4573242073242076,0.7519090519090519,0.7177723177723178,0.31204516204516203,0.3952829452829452,1.2156058656058655,0.2985675171714133,0.11285961750247463,0.2823990784391787,0.05740687137515945,0.06197402212106928,0.06088439101116539,-0.02088842088842086,8.265016965016967
Kentucky 2015,15.328205128205129,71.92248931623932,11.908386752136751,5.561538461538462,0.9588141025641027,1.7265491452991453,1.0394764957264957,0.8120192307692308,0.5696047008547008,0.3935363247863248,1.4755876068376068,0.32840154029256596,0.12553779168362503,0.3428834791978175,0.07527141072118836,0.06769869928843791,0.0693211444999887,0.30224358974358984,11.335470085470083
Lafayette 2015,14.86013986013986,65.59673659673659,10.93706293706294,5.503496503496502,0.5617715617715617,1.5547785547785546,1.156177156177156,0.7972027972027972,0.1911421911421911,0.41491841491841497,1.1678321678321677,0.30960281719742844,0.17721537721537722,0.25178491542127907,0.07459207459207459,0.07459207459207459,0.07459207459207459,-0.38228438228438233,1.7575757575757576
Louisville 2015,10.884565815815819,54.050350350350335,8.670295295295295,3.302852852852853,0.660985985985986,1.1775963463463466,0.6442505005005005,0.5260823323323324,0.3362237237237237,0.4750875875875877,1.123198198198198,0.25287255875797543,0.09800158789742124,0.18330041350874685,0.047091307717033494,0.05038485024933598,0.036483683168885735,0.5704579579579581,12.991366366366364
LSU 2015,17.98071625344353,57.25068870523416,10.787878787878789,6.479338842975207,0.909090909090909,2.2506887052341598,1.3801652892561982,1.2672176308539946,0.5454545454545455,0.6446280991735537,1.3911845730027548,0.30144477294918826,0.12168218986400804,0.2677582021590286,0.0881542699724518,0.08815426997245181,0.0881542699724518,-0.1542699724517907,5.787878787878788
Manhattan 2015,13.296710419705072,63.72897423432184,10.759925457786421,3.9638632312429105,0.6834386647220871,1.3519688867282451,0.734483876195106,0.8849457138227191,0.24388267703775723,0.4815264948954789,1.841192675417274,0.26863008748035483,0.14746928156019065,0.28177805557484703,0.048433981603911366,0.07119987990290805,0.04838254264396043,-0.31907308377896615,6.536947010209041
Maryland 2015,17.22857142857143,72.54805194805195,12.864935064935066,5.955844155844155,0.6675324675324675,2.083116883116883,0.9350649350649349,1.0129870129870129,0.36103896103896105,0.41558441558441556,1.4103896103896105,0.3104739454586666,0.18882966960889042,0.31785824565045345,0.08571428571428572,0.08571428571428573,0.08571428571428572,-0.4727272727272727,5.885714285714287
Michigan St. 2015,11.095329134802823,47.528967986204826,8.01784375468586,3.005922926975558,0.5181717648822911,1.1457489878542508,0.7448924126555706,0.7052406657669815,0.20254161043634725,0.37466261808367074,1.0892937471884843,0.2554361222688751,0.10358620018707737,0.1750401422002299,0.04344782902995994,0.04496978517381459,0.039218615305699776,-0.25607287449392707,8.016381766381768
Mississippi 2015,13.954384531590414,67.06454248366013,11.086328976034856,4.7915305010893245,0.7351579520697168,1.5925925925925928,0.8489923747276688,0.7487745098039215,0.31631263616557737,0.4562908496732026,1.4153050108932463,0.30310814329400926,0.10728836568297351,0.2688139221738078,0.0686674004762811,0.05472697162560163,0.061369541733602484,0.047657952069716784,6.9919662309368205
New Mexico St. 2015,13.230532212885157,54.487585589791486,10.333990818549642,4.513519296607532,0.8791627762215998,1.4232415188297542,0.7227201991907876,0.9089713663243074,0.30292561469032053,0.3990818549642079,1.1055594460006224,0.2717435595385525,0.08866778192758584,0.2575676143072268,0.07029073737667023,0.051323375603476586,0.06359597346468865,-0.41392779333955804,8.376692343604107
North Carolina 2015,11.865110079119367,60.52393647517486,10.262426900584796,3.3784328058708866,0.7316749799334937,1.5219871574360742,1.0252192982456143,0.8315058479532164,0.37125902992776066,0.44672342621259026,1.2292096663226695,0.33274953621799597,0.06317374659415421,0.21306619626408071,0.05319551203131698,0.032063945464652625,0.04522054791090979,-0.027046783625731013,7.623108015135879
North Carolina St. 2015,19.127777777777784,78.12777777777778,14.397222222222222,6.2,0.825,2.1305555555555555,1.1944444444444442,0.9722222222222223,0.3194444444444445,0.39722222222222225,1.6388888888888888,0.3748639631972965,0.1351518157768158,0.36074001615668283,0.08507515133451178,0.10317331545208222,0.0983392811770478,-0.5111111111111111,2.572222222222222
North Dakota St. 2015,15.603030303030303,65.42121212121211,9.993939393939394,4.618181818181819,0.6181818181818182,1.8212121212121215,0.793939393939394,0.7121212121212122,0.28484848484848485,0.3848484848484849,1.3818181818181816,0.2976781719963538,0.1250132275132275,0.29295093795093796,0.06584042914873398,0.06778309676783514,0.06737977026752487,-0.08484848484848491,5.854545454545455
North Florida 2015,21.546031746031744,88.46031746031744,15.511111111111111,8.17142857142857,0.8793650793650793,2.507936507936508,1.5587301587301585,1.307936507936508,0.45079365079365075,0.6761904761904761,1.726984126984127,0.3507818195913434,0.25247016651778553,0.37849714218761843,0.10793650793650793,0.10793650793650796,0.10793650793650796,-0.36190476190476184,7.714285714285714
Northeastern 2015,19.6,72.58285714285714,13.31142857142857,6.657142857142858,0.6942857142857142,2.2685714285714287,1.3857142857142857,1.28,0.3685714285714286,0.5171428571428571,1.3714285714285714,0.34660865325151036,0.17464625850340137,0.3786190476190477,0.09714285714285713,0.09714285714285716,0.09714285714285713,-0.7885714285714286,3.4857142857142867
Northern Iowa 2015,15.916666666666666,73.48333333333335,13.064285714285711,5.135714285714285,0.47380952380952385,1.7452380952380953,0.938095238095238,0.8047619047619047,0.19523809523809524,0.4666666666666666,1.1261904761904762,0.3199667528238957,0.2043131141345427,0.28073310287596004,0.07857142857142858,0.07857142857142858,0.07857142857142857,-0.28571428571428575,10.428571428571429
Notre Dame 2015,14.185839598997495,57.61835839598998,9.118671679197996,4.789160401002507,0.41679197994987466,1.368483709273183,1.1079573934837093,0.6767543859649123,0.18803258145363408,0.44718045112781946,0.9523809523809522,0.3125286922420381,0.1500409505907626,0.2605663622439938,0.058329803748645104,0.07921400169986373,0.0601097801718437,-0.0830827067669173,10.599248120300748
Ohio St. 2015,17.386300249829663,83.04403134226663,15.06806041335453,6.463820122643652,0.8851010674540086,2.2276743129684307,1.1042243924596864,0.9217692482398364,0.5037088348853054,0.6437179196002725,1.6478855325914146,0.40286985081943055,0.15253123067408783,0.3344070858482623,0.09109198485004813,0.07689169950864783,0.09847347134150294,0.4513150124914831,10.49020440608676
Oklahoma 2015,14.805271054702873,62.95829643841007,11.273548799685164,4.669800275482093,0.8468221172766627,1.8707349468713106,1.051483175914994,0.8833210350255805,0.404474124360488,0.4688828217237307,1.4669888823297912,0.283355298714601,0.1025113144431326,0.2910100063804314,0.06872936080067636,0.054285036693879456,0.0718175624044301,-0.01992817788272331,6.692458677685951
